imgpath,corrans,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp.keys,key_resp.corr,key_resp.rt,symbol.started,symbol.stopped,participant,date,expName,psychopyVersion,frameRate,
1.jpg,['1'],0,54,54,54,['1'],1,[0.9596253000199795],145.8332448999863,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
8.jpg,['2'],0,55,55,55,['2'],1,[1.1790645000291988],146.84433930006344,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
1.jpg,['1'],0,56,56,56,['1'],1,[0.7115873000584543],148.06898610002827,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
3.jpg,['3'],0,57,57,57,['3'],1,[1.0137703999644145],148.81484470004216,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
8.jpg,['2'],0,58,58,58,['2'],1,[1.0454986999975517],149.87443590001203,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
4.jpg,['1'],0,59,59,59,['1'],1,[1.7926670000888407],150.9546303000534,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
5.jpg,['2'],0,60,60,60,['2'],1,[0.7967993000056595],152.7889669999713,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
9.jpg,['3'],0,61,61,61,['3'],1,[0.7455163999693468],153.62775820004754,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
7.jpg,['1'],0,62,62,62,['1'],1,[0.9124953999416903],154.40946890006308,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
8.jpg,['2'],0,63,63,63,['2'],1,[0.89247369999066],155.3626955000218,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
4.jpg,['1'],0,64,64,64,['1'],1,[1.3725337000796571],156.30403730005492,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
7.jpg,['1'],0,65,65,65,['1'],1,[1.1161409000633284],157.71470010001212,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
1.jpg,['1'],0,66,66,66,['1'],1,[0.7179578000213951],158.8792356000049,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
4.jpg,['1'],0,67,67,67,['1'],1,[1.023246300057508],159.62823439994827,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
1.jpg,['1'],0,68,68,68,['1'],1,[0.76253460010048],160.69221540004946,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
4.jpg,['1'],0,69,69,69,None,0,,161.49504059995525,None,,2021_Jan_29_2010,Digit Symbol Coding,3.2.4,56.526715932954815,
