43.3307 	DATA 	Keypress: return
43.3492 	EXP 	instructions_1: autoDraw = False
43.3492 	EXP 	instructions_2: autoDraw = True
50.7773 	DATA 	Keypress: return
50.7981 	EXP 	instructions_2: autoDraw = False
50.7981 	EXP 	incorrect: opacity = 0.0
50.7981 	EXP 	practiceimg1: autoDraw = True
50.7981 	EXP 	incorrect: autoDraw = True
53.2189 	DATA 	Keypress: 1
53.2417 	EXP 	practiceimg1: autoDraw = False
53.2417 	EXP 	incorrect: autoDraw = False
53.2417 	EXP 	incorrect_2: opacity = 0.0
53.2417 	EXP 	practice_img_2: autoDraw = True
53.2417 	EXP 	incorrect_2: autoDraw = True
56.3272 	DATA 	Keypress: 3
56.3490 	EXP 	practice_img_2: autoDraw = False
56.3490 	EXP 	incorrect_2: autoDraw = False
56.3490 	EXP 	incorrect_3: opacity = 0.0
56.3490 	EXP 	practiceimg3: autoDraw = True
56.3490 	EXP 	incorrect_3: autoDraw = True
57.6712 	DATA 	Keypress: 2
57.6915 	EXP 	practiceimg3: autoDraw = False
57.6915 	EXP 	incorrect_3: autoDraw = False
57.6915 	EXP 	instructions_3: autoDraw = True
72.2317 	EXP 	Imported coding.xlsx as conditions, 215 conditions, 2 params
72.2330 	EXP 	Created sequence: sequential, trialTypes=215, nReps=1, seed=None
72.2336 	EXP 	New trial (rep=0, index=0): OrderedDict([('imgpath', '4.jpg'), ('corrans', ['1'])])
72.2618 	DATA 	Keypress: return
72.2770 	EXP 	instructions_3: autoDraw = False
72.2770 	EXP 	key: size = array([794, 173])
72.2770 	EXP 	key: image = 'images/key.JPG'
72.2770 	EXP 	symbol: size = array([111, 108])
72.2770 	EXP 	symbol: image = '4.jpg'
72.2770 	EXP 	key: autoDraw = True
72.2770 	EXP 	symbol: autoDraw = True
74.3495 	DATA 	Keypress: 1
76.9437 	DATA 	Keypress: 1
76.9633 	EXP 	New trial (rep=0, index=1): OrderedDict([('imgpath', '9.jpg'), ('corrans', ['3'])])
77.0028 	EXP 	key: autoDraw = False
77.0028 	EXP 	symbol: autoDraw = False
77.0028 	EXP 	key: size = array([794, 173])
77.0028 	EXP 	key: image = 'images/key.JPG'
77.0028 	EXP 	symbol: size = array([109,  93])
77.0028 	EXP 	symbol: image = '9.jpg'
77.0028 	EXP 	key: autoDraw = True
77.0028 	EXP 	symbol: autoDraw = True
80.1737 	EXP 	New trial (rep=0, index=2): OrderedDict([('imgpath', '5.jpg'), ('corrans', ['2'])])
80.1969 	DATA 	Keypress: 3
80.2109 	EXP 	key: autoDraw = False
80.2109 	EXP 	symbol: autoDraw = False
80.2109 	EXP 	key: size = array([794, 173])
80.2109 	EXP 	key: image = 'images/key.JPG'
80.2109 	EXP 	symbol: size = array([107, 110])
80.2109 	EXP 	symbol: image = '5.jpg'
80.2109 	EXP 	key: autoDraw = True
80.2109 	EXP 	symbol: autoDraw = True
81.7806 	EXP 	New trial (rep=0, index=3): OrderedDict([('imgpath', '1.jpg'), ('corrans', ['1'])])
81.8006 	DATA 	Keypress: 2
81.8138 	EXP 	key: autoDraw = False
81.8138 	EXP 	symbol: autoDraw = False
81.8138 	EXP 	key: size = array([794, 173])
81.8138 	EXP 	key: image = 'images/key.JPG'
81.8138 	EXP 	symbol: size = array([111, 111])
81.8138 	EXP 	symbol: image = '1.jpg'
81.8138 	EXP 	key: autoDraw = True
81.8138 	EXP 	symbol: autoDraw = True
82.7503 	EXP 	New trial (rep=0, index=4): OrderedDict([('imgpath', '8.jpg'), ('corrans', ['2'])])
82.7728 	DATA 	Keypress: 1
82.7881 	EXP 	key: autoDraw = False
82.7881 	EXP 	symbol: autoDraw = False
82.7881 	EXP 	key: size = array([794, 173])
82.7881 	EXP 	key: image = 'images/key.JPG'
82.7881 	EXP 	symbol: size = array([105, 109])
82.7881 	EXP 	symbol: image = '8.jpg'
82.7881 	EXP 	key: autoDraw = True
82.7881 	EXP 	symbol: autoDraw = True
84.4655 	EXP 	New trial (rep=0, index=5): OrderedDict([('imgpath', '1.jpg'), ('corrans', ['1'])])
84.4779 	DATA 	Keypress: 2
84.4936 	EXP 	key: autoDraw = False
84.4936 	EXP 	symbol: autoDraw = False
84.4936 	EXP 	key: size = array([794, 173])
84.4936 	EXP 	key: image = 'images/key.JPG'
84.4936 	EXP 	symbol: size = array([111, 111])
84.4936 	EXP 	symbol: image = '1.jpg'
84.4936 	EXP 	key: autoDraw = True
84.4936 	EXP 	symbol: autoDraw = True
85.4837 	EXP 	New trial (rep=0, index=6): OrderedDict([('imgpath', '4.jpg'), ('corrans', ['1'])])
85.4999 	DATA 	Keypress: 1
85.5148 	EXP 	key: autoDraw = False
85.5148 	EXP 	symbol: autoDraw = False
85.5148 	EXP 	key: size = array([794, 173])
85.5148 	EXP 	key: image = 'images/key.JPG'
85.5148 	EXP 	symbol: size = array([111, 108])
